PolicyID,AccountID,ProductID,InsurerID,StartDate,EndDate,Status
POL0000030,A05354,P00002,I00002,8/10/2022,8/1/2029,Cancelled
POL0000031,A05221,P00002,I00001,10/2/2022,8/14/2028,Expired
POL0000032,A02875,P00006,I00006,7/31/2022,11/9/2024,Cancelled
POL0000033,A01296,P00001,I00006,12/2/2023,10/11/2027,Cancelled
POL0000034,A02191,P00003,I00006,12/30/2023,2/26/2027,Expired
POL0000035,A00410,P00005,I00002,2/11/2020,6/7/2026,Active
POL0000036,A01334,P00004,I00002,7/26/2021,4/29/2029,Cancelled
POL0000037,A05942,P00005,I00006,12/21/2019,2/5/2025,Expired
POL0000038,A05350,P00005,I00005,7/28/2024,10/5/2025,Expired
POL0000039,A04022,P00004,I00006,5/10/2021,11/5/2024,Active
POL0000040,A01290,P00001,I00003,7/24/2022,4/15/2027,Active
POL0000041,A01995,P00006,I00004,3/13/2020,7/28/2028,Cancelled
POL0000042,A03361,P00003,I00001,4/12/2020,4/4/2028,Active
POL0000043,A05059,P00004,I00002,8/3/2020,12/15/2026,Cancelled
POL0000044,A04089,P00004,I00005,5/8/2023,6/7/2027,Expired
POL0000045,A00026,P00004,I00004,3/28/2024,7/4/2025,Active
POL0000046,A00108,P00004,I00006,10/9/2022,11/15/2025,Expired
POL0000047,A06067,P00005,I00003,6/6/2022,11/13/2024,Cancelled
POL0000048,A00389,P00001,I00006,7/8/2023,2/22/2026,Active
POL0000049,A01143,P00007,I00006,4/4/2020,10/4/2024,Active
POL0000050,A04702,P00002,I00002,1/25/2021,5/7/2026,Expired
POL0000051,A06348,P00006,I00003,3/10/2020,4/9/2026,Active
POL0000052,A06292,P00005,I00005,11/6/2019,9/19/2024,Active
POL0000053,A00016,P00001,I00002,2/22/2024,4/6/2029,Active
POL0000054,A03760,P00001,I00005,1/23/2023,8/29/2025,Expired
POL0000055,A02852,P00006,I00004,1/1/2024,9/18/2027,Active
POL0000056,A00827,P00001,I00004,12/24/2021,1/1/2026,Expired
POL0000057,A02652,P00002,I00001,3/22/2020,11/18/2026,Cancelled
POL0000058,A01426,P00003,I00006,6/9/2023,8/26/2025,Active
POL0000059,A00778,P00006,I00004,9/12/2021,9/23/2027,Active
POL0000060,A03812,P00002,I00005,11/30/2019,2/11/2025,Active
POL0000061,A05672,P00007,I00004,8/22/2020,1/21/2027,Active
POL0000062,A04999,P00001,I00003,3/10/2021,11/10/2028,Expired
POL0000063,A03038,P00003,I00004,7/22/2024,1/17/2029,Expired
POL0000064,A05526,P00007,I00002,10/16/2020,6/1/2029,Cancelled
POL0000065,A03115,P00004,I00006,11/18/2022,8/9/2025,Active
POL0000066,A05772,P00001,I00002,12/1/2020,6/6/2026,Active
POL0000067,A02352,P00004,I00005,12/5/2022,10/29/2028,Cancelled
POL0000068,A04630,P00007,I00003,3/23/2022,10/10/2024,Cancelled
POL0000069,A04910,P00004,I00001,10/24/2022,7/7/2029,Expired
POL0000070,A06187,P00001,I00002,10/8/2022,5/30/2027,Cancelled
POL0000071,A04080,P00003,I00006,9/9/2021,4/8/2026,Active
POL0000072,A05493,P00006,I00003,11/8/2022,12/9/2027,Cancelled
POL0000073,A02952,P00001,I00003,9/22/2019,4/10/2025,Expired
POL0000074,A00311,P00007,I00003,8/14/2020,10/17/2027,Cancelled
POL0000075,A06229,P00005,I00005,10/19/2022,3/22/2026,Cancelled
POL0000076,A00122,P00006,I00006,10/11/2022,10/9/2024,Cancelled
POL0000077,A04486,P00006,I00001,5/15/2023,9/17/2025,Active
POL0000078,A01713,P00006,I00001,9/14/2023,8/19/2026,Active
POL0000079,A05475,P00007,I00004,8/13/2022,5/2/2028,Cancelled
POL0000080,A02668,P00002,I00001,3/22/2021,10/11/2028,Cancelled
POL0000081,A02014,P00006,I00003,4/10/2023,3/28/2028,Active
POL0000082,A04306,P00005,I00003,8/11/2022,6/22/2027,Expired
POL0000083,A00074,P00003,I00006,11/18/2019,7/27/2027,Cancelled
POL0000084,A04457,P00003,I00002,1/14/2023,8/4/2027,Expired
POL0000085,A05006,P00006,I00002,9/2/2023,5/9/2025,Active
POL0000086,A01329,P00002,I00003,9/28/2019,11/1/2024,Active
POL0000087,A01641,P00007,I00006,4/4/2020,9/13/2028,Cancelled
POL0000088,A00099,P00002,I00005,8/10/2022,12/30/2024,Expired
POL0000089,A00790,P00004,I00006,12/8/2020,9/3/2028,Active
POL0000090,A04211,P00004,I00006,1/22/2020,8/13/2027,Active
POL0000091,A00081,P00005,I00001,9/26/2022,8/27/2025,Expired
POL0000092,A02885,P00002,I00003,9/19/2023,5/25/2028,Expired
POL0000093,A03420,P00001,I00002,9/6/2019,9/7/2024,Cancelled
POL0000094,A03112,P00001,I00006,6/1/2021,2/11/2025,Cancelled
POL0000095,A00669,P00007,I00002,10/19/2022,1/25/2029,Cancelled
POL0000096,A04707,P00007,I00005,4/22/2022,1/15/2028,Expired
POL0000097,A05845,P00006,I00004,2/4/2021,9/19/2024,Expired
POL0000098,A03210,P00004,I00005,8/6/2021,8/13/2028,Active
POL0000099,A03913,P00004,I00002,3/24/2023,3/2/2029,Cancelled
POL0000100,A02450,P00002,I00003,1/13/2023,5/2/2025,Active
POL0000101,A05770,P00005,I00006,12/20/2020,6/18/2027,Expired
POL0000102,A01338,P00004,I00002,6/23/2020,11/27/2024,Active
POL0000103,A03517,P00004,I00001,8/14/2023,6/23/2026,Active
POL0000104,A05812,P00006,I00004,4/19/2021,2/11/2025,Cancelled
POL0000105,A03569,P00002,I00006,6/13/2020,10/14/2026,Cancelled
POL0000106,A05829,P00001,I00004,12/4/2023,6/21/2026,Expired
POL0000107,A03411,P00006,I00001,11/22/2020,12/22/2027,Active
POL0000108,A04242,P00006,I00003,4/19/2024,3/10/2028,Active
POL0000109,A06327,P00002,I00004,9/13/2021,6/6/2025,Expired
POL0000110,A04307,P00002,I00004,1/29/2020,9/20/2026,Active
POL0000111,A02774,P00004,I00004,3/16/2020,9/15/2026,Cancelled
POL0000112,A02303,P00004,I00003,3/29/2021,7/9/2029,Active
POL0000113,A02657,P00005,I00005,6/16/2021,8/29/2025,Active
POL0000114,A02565,P00004,I00004,8/12/2023,6/29/2028,Active
POL0000115,A00433,P00007,I00005,8/25/2021,6/19/2025,Active
POL0000116,A00999,P00005,I00001,1/23/2024,2/8/2026,Active
POL0000117,A00391,P00001,I00006,3/16/2020,11/16/2026,Cancelled
POL0000118,A00159,P00006,I00003,6/7/2023,5/18/2027,Active
POL0000119,A01634,P00004,I00001,9/6/2019,3/5/2025,Active
POL0000120,A02392,P00006,I00006,7/21/2024,9/20/2026,Expired
POL0000121,A05802,P00005,I00005,7/16/2023,1/8/2025,Expired
POL0000122,A03368,P00003,I00003,11/7/2022,9/1/2025,Active
POL0000123,A01373,P00003,I00005,3/31/2022,10/29/2028,Cancelled
POL0000124,A01082,P00002,I00005,7/20/2024,3/26/2025,Active
POL0000125,A05903,P00002,I00001,10/7/2019,10/24/2026,Expired
POL0000126,A06311,P00004,I00006,5/10/2020,5/25/2025,Expired
POL0000127,A03486,P00005,I00003,5/25/2020,12/2/2027,Cancelled
POL0000128,A00645,P00004,I00006,10/23/2020,1/8/2029,Active
POL0000129,A00612,P00005,I00002,9/11/2021,5/5/2029,Cancelled
POL0000130,A03181,P00004,I00006,6/8/2023,4/29/2027,Cancelled
POL0000131,A01361,P00002,I00006,6/3/2021,1/20/2027,Cancelled
POL0000132,A01291,P00002,I00001,9/27/2020,3/27/2028,Expired
POL0000133,A04514,P00005,I00004,9/25/2022,8/31/2028,Active
POL0000134,A02513,P00005,I00001,12/12/2021,9/23/2024,Active
POL0000135,A01740,P00002,I00003,7/22/2024,1/4/2027,Active
POL0000136,A01759,P00001,I00002,2/27/2023,7/6/2026,Cancelled
POL0000137,A03727,P00005,I00001,10/21/2020,11/3/2024,Cancelled
POL0000138,A05936,P00007,I00003,7/14/2020,7/29/2026,Cancelled
POL0000139,A04553,P00004,I00001,10/19/2021,1/3/2027,Active
POL0000140,A04426,P00006,I00002,10/15/2023,12/16/2024,Active
POL0000141,A03677,P00002,I00004,10/14/2020,4/27/2028,Active
POL0000142,A00476,P00005,I00003,9/13/2019,11/2/2028,Expired
POL0000143,A00919,P00004,I00003,4/12/2020,6/13/2025,Cancelled
POL0000144,A01417,P00007,I00006,8/18/2022,1/31/2026,Active
POL0000145,A05595,P00002,I00006,12/31/2019,1/16/2028,Cancelled
POL0000146,A01631,P00006,I00001,7/30/2022,3/5/2026,Expired
POL0000147,A05444,P00007,I00006,1/29/2023,3/7/2026,Active
POL0000148,A05427,P00001,I00001,7/3/2021,12/12/2027,Active
POL0000149,A03116,P00001,I00002,7/18/2020,1/16/2027,Cancelled
POL0000150,A02853,P00004,I00002,12/17/2021,3/13/2025,Active
POL0000151,A04338,P00005,I00001,7/14/2022,4/1/2029,Cancelled
POL0000152,A00072,P00007,I00003,2/16/2024,10/19/2028,Expired
POL0000153,A00958,P00003,I00004,2/4/2021,9/14/2027,Active
POL0000154,A04595,P00005,I00002,7/12/2020,9/9/2027,Cancelled
POL0000155,A00181,P00006,I00002,2/5/2020,3/21/2028,Active
POL0000156,A03967,P00003,I00002,6/28/2022,1/7/2027,Cancelled
POL0000157,A00980,P00001,I00005,9/6/2023,1/20/2029,Cancelled
POL0000158,A05054,P00007,I00004,10/28/2023,6/3/2027,Active
POL0000159,A05240,P00005,I00001,8/26/2023,5/25/2027,Cancelled
POL0000160,A01226,P00004,I00006,6/26/2022,1/16/2026,Cancelled
POL0000161,A06360,P00003,I00004,12/1/2022,7/8/2027,Active
POL0000162,A04055,P00003,I00002,12/17/2023,9/4/2024,Expired
POL0000163,A04337,P00001,I00005,10/11/2022,8/26/2024,Active
POL0000164,A05332,P00004,I00001,4/2/2023,9/2/2024,Active
POL0000165,A01766,P00005,I00003,4/15/2022,8/29/2028,Active
POL0000166,A00988,P00003,I00003,10/21/2021,10/10/2025,Cancelled
POL0000167,A03952,P00006,I00006,3/20/2020,3/22/2029,Cancelled
POL0000168,A06401,P00005,I00001,5/22/2020,1/20/2026,Cancelled
POL0000169,A00975,P00005,I00005,8/21/2021,7/27/2026,Active
POL0000170,A03233,P00003,I00005,2/28/2021,3/29/2026,Active
POL0000171,A03580,P00002,I00001,4/21/2020,12/12/2025,Active
POL0000172,A02768,P00006,I00001,12/22/2020,12/2/2027,Cancelled
POL0000173,A00837,P00007,I00003,5/5/2022,7/6/2025,Cancelled
POL0000174,A00658,P00001,I00002,12/25/2021,6/4/2025,Cancelled
POL0000175,A00437,P00007,I00004,5/1/2022,12/11/2026,Active
POL0000176,A04381,P00007,I00004,8/14/2020,4/21/2029,Expired
POL0000177,A01173,P00001,I00005,6/12/2024,9/18/2028,Expired
POL0000178,A04298,P00002,I00001,11/17/2022,12/18/2026,Expired
POL0000179,A03068,P00006,I00001,2/25/2024,9/22/2025,Active
POL0000180,A03112,P00002,I00002,12/11/2022,7/13/2026,Cancelled
POL0000181,A06393,P00007,I00001,3/27/2022,7/2/2025,Expired
POL0000182,A00065,P00004,I00002,2/19/2020,9/10/2027,Expired
POL0000183,A05746,P00005,I00001,12/27/2021,7/24/2026,Cancelled
POL0000184,A04686,P00005,I00001,10/24/2021,1/19/2026,Cancelled
POL0000185,A05576,P00004,I00001,3/12/2021,4/22/2025,Expired
POL0000186,A02304,P00005,I00005,9/15/2020,2/11/2029,Expired
POL0000187,A04021,P00007,I00006,10/19/2023,8/24/2025,Expired
POL0000188,A01668,P00004,I00001,1/18/2021,12/7/2028,Active
POL0000189,A06189,P00002,I00006,3/25/2022,11/9/2026,Active
POL0000190,A05666,P00006,I00004,4/8/2021,1/24/2026,Active
POL0000191,A01361,P00007,I00005,1/17/2022,6/17/2026,Active
POL0000192,A01039,P00003,I00004,9/26/2022,10/28/2024,Expired
POL0000193,A02190,P00004,I00006,2/22/2020,4/17/2027,Expired
POL0000194,A02937,P00001,I00004,6/27/2023,12/17/2027,Cancelled
POL0000195,A00348,P00004,I00001,9/28/2020,8/3/2026,Cancelled
POL0000196,A03237,P00001,I00002,10/16/2019,4/20/2026,Active
POL0000197,A00277,P00001,I00002,11/4/2019,2/8/2026,Expired
POL0000198,A01080,P00003,I00006,12/25/2022,11/1/2025,Expired
POL0000199,A03456,P00003,I00004,5/24/2022,11/18/2028,Expired
POL0000200,A05298,P00007,I00002,1/26/2022,1/20/2026,Active
POL0000201,A03607,P00003,I00003,3/26/2024,6/5/2028,Cancelled
POL0000202,A03550,P00004,I00003,7/3/2020,4/28/2026,Active
POL0000203,A02747,P00003,I00001,7/5/2024,12/12/2024,Expired
POL0000204,A02171,P00005,I00004,3/11/2021,11/12/2028,Expired
POL0000205,A03133,P00007,I00005,12/1/2022,4/13/2027,Expired
POL0000206,A02672,P00007,I00002,9/13/2019,7/27/2025,Expired
POL0000207,A00385,P00007,I00002,3/20/2022,2/4/2027,Expired
POL0000208,A00935,P00004,I00002,2/27/2020,9/21/2025,Cancelled
POL0000209,A00871,P00004,I00004,11/29/2021,4/18/2027,Active
POL0000210,A01923,P00002,I00003,4/26/2023,3/14/2029,Active
POL0000211,A02843,P00006,I00001,11/28/2020,4/20/2027,Expired
POL0000212,A05817,P00001,I00002,2/9/2024,7/28/2027,Active
POL0000213,A01594,P00005,I00005,8/15/2020,9/9/2027,Expired
POL0000214,A00943,P00006,I00004,4/30/2020,8/29/2024,Expired
POL0000215,A03177,P00002,I00003,8/3/2021,2/4/2025,Active
POL0000216,A04600,P00001,I00004,12/7/2020,12/20/2027,Expired
POL0000217,A04268,P00001,I00002,10/24/2021,8/19/2027,Cancelled
POL0000218,A06409,P00006,I00003,1/31/2024,4/8/2026,Expired
POL0000219,A04731,P00005,I00002,6/14/2024,12/3/2028,Expired
POL0000220,A05440,P00004,I00003,2/22/2022,3/26/2026,Active
POL0000221,A01132,P00002,I00002,10/5/2019,3/23/2027,Expired
POL0000222,A01314,P00001,I00002,2/18/2021,1/8/2026,Cancelled
POL0000223,A04753,P00007,I00002,8/5/2021,4/26/2027,Expired
POL0000224,A01660,P00005,I00005,9/9/2023,2/3/2029,Expired
POL0000225,A00042,P00007,I00001,11/13/2023,5/3/2026,Cancelled
POL0000226,A05652,P00001,I00004,7/29/2022,5/10/2025,Active
POL0000227,A03528,P00001,I00004,4/24/2023,5/19/2029,Expired
POL0000228,A00289,P00005,I00005,8/17/2022,7/19/2027,Active
POL0000229,A00431,P00002,I00005,3/26/2023,12/31/2024,Expired
POL0000230,A04412,P00005,I00001,6/2/2023,6/15/2028,Active
POL0000231,A04210,P00004,I00002,10/6/2021,12/21/2027,Cancelled
POL0000232,A03041,P00007,I00004,6/29/2020,11/12/2027,Active
POL0000233,A00197,P00001,I00003,5/1/2023,6/29/2026,Cancelled
POL0000234,A04728,P00005,I00004,2/16/2023,10/26/2027,Expired
POL0000235,A03341,P00002,I00006,12/23/2019,5/10/2027,Expired
POL0000236,A06131,P00007,I00006,1/14/2020,9/5/2025,Active
POL0000237,A03296,P00001,I00006,11/5/2023,12/26/2024,Expired
POL0000238,A00083,P00003,I00006,12/29/2023,8/16/2025,Active
POL0000239,A01595,P00005,I00001,10/18/2022,5/17/2025,Active
POL0000240,A00341,P00006,I00002,1/2/2020,1/15/2028,Expired
POL0000241,A06305,P00002,I00005,2/28/2022,10/3/2027,Active
POL0000242,A02963,P00007,I00001,12/1/2022,5/18/2025,Active
POL0000243,A04176,P00007,I00001,10/16/2023,9/16/2026,Expired
POL0000244,A02841,P00003,I00006,11/9/2023,11/28/2024,Cancelled
POL0000245,A03422,P00007,I00001,8/6/2022,4/8/2029,Active
POL0000246,A00587,P00002,I00006,6/26/2020,4/20/2027,Cancelled
POL0000247,A04268,P00006,I00006,7/28/2023,3/21/2029,Expired
POL0000248,A02621,P00005,I00001,12/13/2023,5/16/2026,Expired
POL0000249,A03305,P00004,I00003,11/8/2019,12/21/2024,Expired
POL0000250,A00751,P00007,I00001,3/22/2022,2/25/2025,Expired
POL0000251,A00883,P00002,I00003,1/11/2024,9/24/2028,Cancelled
POL0000252,A04803,P00005,I00003,11/22/2021,1/15/2026,Cancelled
POL0000253,A00609,P00003,I00005,8/25/2020,7/10/2028,Expired
POL0000254,A02996,P00006,I00002,6/9/2020,8/13/2025,Cancelled
POL0000255,A04118,P00001,I00005,8/24/2021,7/9/2029,Active
POL0000256,A04253,P00001,I00003,3/29/2020,5/27/2028,Active
POL0000257,A01420,P00003,I00004,11/11/2020,9/7/2024,Expired
POL0000258,A00547,P00007,I00001,5/31/2021,11/25/2026,Expired
POL0000259,A05960,P00001,I00003,3/7/2023,2/18/2029,Active
POL0000260,A04975,P00006,I00005,6/25/2022,12/29/2027,Expired
POL0000261,A05931,P00001,I00006,6/8/2020,3/4/2026,Active
POL0000262,A04911,P00002,I00005,4/4/2023,5/10/2029,Expired
POL0000263,A05932,P00001,I00005,11/22/2020,4/12/2026,Cancelled
POL0000264,A02366,P00002,I00003,6/14/2020,1/21/2025,Expired
POL0000265,A00014,P00004,I00003,11/25/2019,11/1/2026,Active
POL0000266,A02120,P00007,I00001,6/16/2022,12/18/2027,Active
POL0000267,A05531,P00002,I00001,9/20/2019,5/28/2027,Active
POL0000268,A03145,P00004,I00001,1/26/2022,5/29/2028,Active
POL0000269,A03952,P00004,I00006,9/20/2019,4/17/2027,Cancelled
POL0000270,A01308,P00007,I00003,9/29/2021,9/17/2027,Expired
POL0000271,A02969,P00002,I00005,10/4/2023,7/27/2026,Expired
POL0000272,A01664,P00007,I00003,7/16/2020,7/27/2026,Active
POL0000273,A00711,P00002,I00003,12/17/2020,1/4/2026,Expired
POL0000274,A01868,P00006,I00006,1/12/2024,5/30/2028,Expired
POL0000275,A00708,P00003,I00003,3/10/2023,9/7/2028,Active
POL0000276,A04637,P00003,I00001,12/18/2021,6/14/2027,Cancelled
POL0000277,A02273,P00005,I00002,4/26/2022,4/11/2029,Expired
POL0000278,A00096,P00006,I00003,12/4/2023,3/1/2025,Expired
POL0000279,A05876,P00002,I00001,6/21/2023,2/23/2025,Cancelled
POL0000280,A05889,P00006,I00005,2/12/2020,7/4/2026,Expired
POL0000281,A00458,P00006,I00006,1/20/2022,10/27/2024,Cancelled
POL0000282,A02881,P00003,I00005,4/22/2020,6/9/2027,Active
POL0000283,A03979,P00002,I00001,6/29/2023,12/12/2024,Cancelled
POL0000284,A01887,P00001,I00001,1/28/2020,6/8/2026,Expired
POL0000285,A01887,P00003,I00006,9/2/2022,6/14/2028,Cancelled
POL0000286,A00880,P00007,I00001,7/23/2021,7/21/2029,Cancelled
POL0000287,A04590,P00007,I00005,8/7/2020,11/29/2025,Active
POL0000288,A05561,P00005,I00002,11/25/2019,5/2/2029,Cancelled
POL0000289,A04705,P00001,I00006,9/27/2023,2/9/2028,Cancelled
POL0000290,A03786,P00004,I00003,4/15/2024,3/13/2026,Cancelled
POL0000291,A05965,P00003,I00006,12/5/2021,9/26/2027,Cancelled
POL0000292,A04033,P00003,I00004,8/17/2022,12/24/2025,Cancelled
POL0000293,A03881,P00004,I00004,2/26/2024,3/25/2025,Active
POL0000294,A05346,P00003,I00005,9/19/2022,5/23/2025,Expired
POL0000295,A04080,P00005,I00001,3/28/2022,2/28/2026,Active
POL0000296,A03092,P00001,I00004,5/13/2024,8/25/2026,Active
POL0000297,A04313,P00007,I00003,6/8/2023,2/12/2029,Expired
POL0000298,A02845,P00003,I00006,9/10/2020,2/9/2029,Cancelled
POL0000299,A01483,P00006,I00005,10/27/2021,9/15/2024,Cancelled
POL0000300,A00325,P00001,I00006,4/18/2023,9/20/2025,Expired
POL0000301,A01482,P00006,I00006,2/16/2020,12/19/2026,Cancelled
POL0000302,A06226,P00006,I00006,2/5/2021,5/31/2028,Expired
POL0000303,A05584,P00003,I00004,1/28/2022,6/22/2025,Cancelled
POL0000304,A02318,P00003,I00006,9/25/2023,10/31/2024,Active
POL0000305,A01362,P00003,I00005,1/18/2021,3/14/2026,Expired
POL0000306,A01504,P00007,I00005,9/13/2021,3/17/2029,Active
POL0000307,A06483,P00003,I00006,4/29/2022,10/28/2026,Cancelled
POL0000308,A02790,P00002,I00002,1/12/2020,11/24/2027,Cancelled
POL0000309,A00150,P00005,I00004,7/24/2021,2/11/2029,Cancelled
POL0000310,A06132,P00006,I00006,2/24/2022,9/23/2028,Cancelled
POL0000311,A02611,P00004,I00006,8/21/2020,6/14/2028,Cancelled
POL0000312,A02456,P00001,I00005,1/10/2022,5/13/2028,Expired
POL0000313,A03402,P00007,I00004,3/25/2023,1/1/2028,Cancelled
POL0000314,A02392,P00004,I00004,7/13/2022,8/4/2029,Cancelled
POL0000315,A01359,P00007,I00004,7/10/2022,4/23/2026,Expired
POL0000316,A03604,P00007,I00006,10/3/2020,2/25/2029,Cancelled
POL0000317,A02929,P00002,I00006,8/23/2020,10/14/2027,Active
POL0000318,A03524,P00001,I00004,3/14/2023,4/3/2026,Cancelled
POL0000319,A02257,P00003,I00001,4/17/2024,10/8/2025,Expired
POL0000320,A02217,P00003,I00002,8/20/2022,7/7/2029,Expired
POL0000321,A05566,P00005,I00003,10/2/2020,10/11/2028,Cancelled
POL0000322,A01872,P00004,I00002,1/27/2022,5/27/2027,Active
POL0000323,A04591,P00004,I00004,12/26/2022,5/18/2028,Cancelled
POL0000324,A03069,P00004,I00006,8/16/2020,4/4/2025,Cancelled
POL0000325,A01001,P00007,I00001,1/5/2023,2/15/2025,Cancelled
POL0000326,A00650,P00002,I00002,8/10/2023,4/19/2026,Expired
POL0000327,A01496,P00001,I00005,8/23/2021,3/5/2029,Cancelled
POL0000328,A01615,P00004,I00005,2/25/2024,10/21/2026,Active
POL0000329,A04280,P00003,I00002,9/23/2022,11/28/2028,Active
POL0000330,A00377,P00006,I00001,9/27/2019,7/28/2027,Active
POL0000331,A01236,P00003,I00002,9/16/2022,11/24/2027,Expired
POL0000332,A00617,P00003,I00003,4/4/2020,12/24/2025,Active
POL0000333,A02788,P00001,I00002,11/8/2023,2/8/2026,Active
POL0000334,A03829,P00001,I00003,6/25/2024,2/22/2026,Cancelled
POL0000335,A03718,P00001,I00005,7/21/2020,8/24/2024,Cancelled
POL0000336,A00563,P00004,I00006,3/13/2021,10/22/2027,Active
POL0000337,A04456,P00005,I00001,6/6/2020,7/11/2026,Cancelled
POL0000338,A02698,P00007,I00003,1/25/2022,11/25/2027,Active
POL0000339,A00769,P00006,I00001,11/12/2022,7/13/2025,Active
POL0000340,A02823,P00005,I00003,4/8/2020,1/26/2029,Active
POL0000341,A04891,P00006,I00001,9/29/2019,1/10/2029,Active
POL0000342,A03778,P00003,I00006,10/13/2021,3/4/2028,Active
POL0000343,A00233,P00007,I00001,11/15/2021,8/27/2027,Cancelled
POL0000344,A02102,P00004,I00002,8/14/2019,2/19/2028,Cancelled
POL0000345,A04305,P00006,I00006,1/11/2021,4/17/2026,Cancelled
POL0000346,A02556,P00005,I00003,12/25/2020,1/5/2026,Cancelled
POL0000347,A04730,P00003,I00006,7/6/2022,4/5/2028,Active
POL0000348,A00260,P00002,I00003,5/28/2020,7/22/2027,Cancelled
POL0000349,A02239,P00007,I00003,4/29/2020,2/6/2025,Active
POL0000350,A04377,P00003,I00002,2/21/2022,4/10/2025,Expired
POL0000351,A02421,P00007,I00004,1/27/2024,5/7/2028,Expired
POL0000352,A05717,P00001,I00006,8/7/2023,4/28/2026,Active
POL0000353,A01603,P00003,I00006,7/28/2023,10/4/2026,Active
POL0000354,A00650,P00006,I00001,2/21/2021,1/16/2029,Active
POL0000355,A00216,P00007,I00006,5/20/2023,10/12/2024,Active
POL0000356,A00534,P00005,I00005,2/13/2024,8/12/2027,Active
POL0000357,A01455,P00005,I00006,11/4/2021,4/22/2028,Expired
POL0000358,A01750,P00005,I00006,3/28/2021,3/17/2029,Expired
POL0000359,A04709,P00004,I00001,2/12/2020,4/20/2028,Expired
POL0000360,A01703,P00003,I00003,8/19/2019,1/2/2026,Active
POL0000361,A02091,P00003,I00003,9/4/2022,11/24/2027,Active
POL0000362,A01875,P00007,I00004,3/27/2020,12/28/2028,Cancelled
POL0000363,A02380,P00006,I00001,1/2/2023,4/5/2027,Expired
POL0000364,A06290,P00003,I00005,12/17/2023,3/8/2025,Cancelled
POL0000365,A02766,P00002,I00002,2/22/2022,5/6/2025,Expired
POL0000366,A05177,P00007,I00006,5/5/2022,2/10/2027,Expired
POL0000367,A02804,P00002,I00001,3/24/2022,7/21/2026,Cancelled
POL0000368,A01984,P00003,I00005,9/11/2023,12/30/2027,Cancelled
POL0000369,A04710,P00003,I00005,2/16/2020,8/5/2027,Active
POL0000370,A00855,P00005,I00003,5/22/2022,12/28/2024,Active
POL0000371,A06175,P00003,I00005,2/7/2021,4/1/2029,Active
POL0000372,A03601,P00002,I00002,1/22/2022,10/5/2027,Expired
POL0000373,A02859,P00006,I00002,5/24/2022,10/6/2025,Cancelled
POL0000374,A04814,P00001,I00006,5/20/2024,5/24/2025,Expired
POL0000375,A04288,P00003,I00004,12/10/2020,7/2/2025,Active
POL0000376,A04143,P00007,I00006,5/9/2020,11/13/2027,Expired
POL0000377,A00616,P00007,I00006,2/16/2023,9/6/2026,Cancelled
POL0000378,A05234,P00006,I00003,5/18/2022,6/14/2028,Cancelled
POL0000379,A03976,P00001,I00005,2/2/2024,8/4/2027,Expired
POL0000380,A04464,P00007,I00001,3/15/2024,2/18/2028,Active
POL0000381,A06256,P00001,I00003,12/28/2021,10/24/2025,Active
POL0000382,A06156,P00001,I00002,8/17/2020,10/15/2027,Cancelled
POL0000383,A02083,P00007,I00006,3/4/2022,8/17/2026,Expired
