ClaimID,PolicyID,ClaimDate,ClaimAmount,ClaimStatus,TypeOfLoss
C0000041,POL0011612,2022-03-22,30042,Pending,Liability
C0000042,POL0057471,2020-10-05,22864,Closed,Fire
C0000043,POL0007943,2019-10-12,29357,Open,Natural Disaster
C0000044,POL0023799,2020-01-30,18481,Closed,Accident
C0000045,POL0046497,2021-11-09,33186,Open,Fire
C0000046,POL0008388,2022-08-23,38218,Closed,Theft
C0000047,POL0054547,2020-07-02,45002,Pending,Liability
C0000048,POL0042136,2023-12-31,24414,Open,Liability
C0000049,POL0042840,2022-12-13,1611,Pending,Natural Disaster
C0000050,POL0026831,2020-12-31,5670,Open,Natural Disaster
C0000051,POL0054307,2021-12-25,8204,Pending,Liability
C0000052,POL0058049,2021-04-21,42558,Open,Theft
C0000053,POL0019795,2022-04-22,47934,Pending,Accident
C0000054,POL0035886,2022-03-08,23043,Closed,Fire
C0000055,POL0043513,2019-10-17,7444,Pending,Theft
C0000056,POL0034920,2022-01-02,12423,Closed,Natural Disaster
C0000057,POL0054795,2022-02-23,38961,Closed,Natural Disaster
C0000058,POL0062081,2024-03-18,33820,Closed,Theft
C0000059,POL0007318,2020-08-07,46187,Pending,Theft
C0000060,POL0038194,2021-06-24,22969,Open,Liability
C0000061,POL0045092,2023-06-17,41803,Pending,Natural Disaster
C0000062,POL0063363,2023-05-25,13741,Closed,Natural Disaster
C0000063,POL0038529,2021-08-01,36315,Open,Fire
C0000064,POL0042195,2021-03-16,33373,Closed,Fire
C0000065,POL0007345,2021-09-09,3941,Pending,Natural Disaster
C0000066,POL0052309,2023-04-15,37405,Closed,Theft
C0000067,POL0022024,2023-06-20,36226,Closed,Theft
C0000068,POL0008809,2023-01-29,42619,Open,Liability
C0000069,POL0007150,2020-10-17,42977,Closed,Liability
C0000070,POL0000459,2022-07-28,45399,Pending,Accident
C0000071,POL0015121,2022-11-22,43707,Open,Theft
C0000072,POL0057815,2022-08-06,43841,Pending,Theft
C0000073,POL0005314,2021-05-06,35581,Pending,Liability
C0000074,POL0023007,2023-06-05,40438,Closed,Accident
C0000075,POL0046188,2019-12-29,38901,Open,Accident
C0000076,POL0031234,2023-05-01,4433,Pending,Natural Disaster
C0000077,POL0056658,2020-10-05,9159,Open,Fire
C0000078,POL0057166,2021-11-29,48649,Open,Fire
C0000079,POL0042918,2021-02-20,7263,Pending,Liability
C0000080,POL0047241,2020-07-24,47080,Pending,Theft
C0000081,POL0039152,2021-09-27,26187,Pending,Accident
C0000082,POL0029467,2021-08-09,35009,Open,Natural Disaster
C0000083,POL0051669,2021-04-25,18063,Pending,Accident
C0000084,POL0058877,2023-02-16,37810,Closed,Fire
C0000085,POL0055423,2024-07-31,11650,Open,Natural Disaster
C0000086,POL0062832,2024-03-23,16050,Open,Fire
C0000087,POL0064732,2021-02-08,2201,Pending,Accident
C0000088,POL0034218,2022-11-16,33507,Open,Accident
C0000089,POL0053048,2022-07-18,21463,Open,Natural Disaster
C0000090,POL0011237,2023-11-16,48901,Open,Theft
C0000091,POL0017849,2023-10-06,4851,Open,Fire
C0000092,POL0057499,2023-04-16,7056,Open,Theft
C0000093,POL0010967,2021-02-13,29922,Pending,Fire
C0000094,POL0030501,2022-12-15,12604,Closed,Liability
C0000095,POL0041306,2023-04-18,18591,Open,Accident
C0000096,POL0034100,2020-12-05,29059,Pending,Natural Disaster
C0000097,POL0014011,2020-07-08,47858,Closed,Theft
C0000098,POL0025907,2021-03-12,15626,Open,Liability
C0000099,POL0010430,2020-10-17,21935,Closed,Fire
C0000100,POL0062724,2020-03-12,27562,Open,Natural Disaster
C0000101,POL0031396,2021-12-08,45805,Closed,Liability
C0000102,POL0015830,2020-12-21,17186,Closed,Accident
C0000103,POL0063192,2019-12-13,11520,Closed,Liability
C0000104,POL0028736,2023-04-17,46685,Closed,Fire
C0000105,POL0036293,2021-08-15,11420,Open,Fire
C0000106,POL0051896,2023-07-31,6117,Closed,Natural Disaster
C0000107,POL0014912,2020-06-17,15722,Closed,Natural Disaster
C0000108,POL0027083,2021-10-06,49187,Open,Accident
C0000109,POL0034493,2021-10-11,35341,Pending,Accident
C0000110,POL0016049,2020-04-02,36983,Open,Theft
C0000111,POL0029651,2022-09-19,44209,Pending,Theft
C0000112,POL0046438,2022-04-28,12377,Closed,Accident
C0000113,POL0057613,2023-04-16,24604,Open,Liability
C0000114,POL0027580,2021-06-01,29134,Closed,Fire
C0000115,POL0026392,2022-12-15,8669,Open,Liability
C0000116,POL0010344,2023-12-05,36577,Closed,Theft
C0000117,POL0020324,2022-05-16,11996,Open,Fire
C0000118,POL0002166,2022-08-11,6889,Pending,Theft
C0000119,POL0011842,2022-08-18,20873,Pending,Fire
C0000120,POL0038004,2023-09-19,16687,Closed,Natural Disaster
C0000121,POL0002380,2023-03-30,43153,Pending,Accident
C0000122,POL0012257,2022-12-17,6879,Open,Fire
C0000123,POL0060176,2022-11-12,42859,Pending,Accident
C0000124,POL0013655,2023-11-17,34435,Pending,Fire
C0000125,POL0048715,2023-12-20,21851,Open,Natural Disaster
C0000126,POL0052269,2020-10-10,30529,Closed,Liability
C0000127,POL0063939,2022-06-05,19837,Pending,Fire
C0000128,POL0027783,2020-02-01,5045,Closed,Liability
C0000129,POL0019127,2022-04-15,43570,Closed,Theft
C0000130,POL0051407,2024-01-09,7964,Pending,Theft
C0000131,POL0042126,2020-06-20,10931,Open,Accident
C0000132,POL0000911,2020-07-24,48360,Pending,Accident
C0000133,POL0033327,2023-01-03,18129,Closed,Accident
C0000134,POL0008949,2023-05-09,18746,Closed,Accident
C0000135,POL0053232,2022-02-21,6979,Open,Fire
C0000136,POL0053802,2024-05-12,40826,Closed,Natural Disaster
C0000137,POL0018029,2022-02-02,45416,Pending,Accident
C0000138,POL0011236,2022-10-04,47711,Pending,Liability
C0000139,POL0000278,2021-08-31,33759,Closed,Theft
C0000140,POL0027946,2020-03-23,30920,Closed,Accident
C0000141,POL0053205,2023-01-07,16424,Open,Natural Disaster
C0000142,POL0053165,2020-06-16,43464,Closed,Theft
C0000143,POL0013466,2021-08-30,30652,Pending,Accident
C0000144,POL0039693,2020-11-10,13388,Closed,Fire
C0000145,POL0008362,2023-07-21,34106,Open,Natural Disaster
C0000146,POL0041689,2020-07-14,33400,Pending,Fire
C0000147,POL0044633,2020-05-01,33098,Open,Liability
C0000148,POL0038360,2024-04-16,37390,Closed,Natural Disaster
C0000149,POL0027527,2022-07-30,15661,Pending,Theft
C0000150,POL0038391,2023-12-14,25650,Pending,Fire
C0000151,POL0042350,2023-01-25,29010,Closed,Accident
C0000152,POL0046475,2019-11-21,17378,Pending,Natural Disaster
C0000153,POL0019628,2020-12-24,46452,Pending,Natural Disaster
C0000154,POL0044963,2020-10-14,26801,Open,Fire
C0000155,POL0063572,2021-05-01,45918,Pending,Fire
C0000156,POL0003089,2021-03-26,36865,Pending,Liability
C0000157,POL0041635,2023-07-07,23506,Open,Liability
C0000158,POL0016794,2022-10-21,15940,Pending,Fire
C0000159,POL0052806,2022-10-12,29465,Closed,Fire
C0000160,POL0048893,2021-04-12,42960,Closed,Accident
C0000161,POL0050969,2023-11-25,32900,Open,Fire
C0000162,POL0049228,2023-05-20,45736,Open,Fire
C0000163,POL0061646,2024-07-06,41539,Closed,Fire
C0000164,POL0038375,2022-03-14,11555,Open,Liability
C0000165,POL0043949,2021-08-19,10085,Closed,Fire
C0000166,POL0044121,2023-08-04,32949,Closed,Fire
C0000167,POL0008416,2021-07-07,9989,Open,Theft
C0000168,POL0028528,2023-09-07,19066,Pending,Accident
C0000169,POL0061379,2024-05-24,9293,Open,Natural Disaster
C0000170,POL0056713,2022-12-03,49207,Closed,Natural Disaster
C0000171,POL0060755,2021-06-21,7621,Open,Accident
C0000172,POL0050554,2024-07-20,34460,Pending,Theft
C0000173,POL0007806,2020-04-02,41212,Open,Liability
C0000174,POL0011728,2023-10-03,37353,Open,Accident
C0000175,POL0037317,2022-04-27,15833,Pending,Accident
C0000176,POL0042185,2020-04-18,25874,Pending,Liability
C0000177,POL0029664,2021-07-04,44394,Closed,Liability
C0000178,POL0039879,2022-03-26,6720,Closed,Liability
C0000179,POL0061848,2021-08-06,22567,Open,Theft
C0000180,POL0003851,2020-07-06,38002,Pending,Theft
C0000181,POL0047791,2019-12-03,48396,Open,Theft
C0000182,POL0026760,2021-10-04,37268,Open,Theft
C0000183,POL0063710,2020-07-06,13135,Closed,Liability
C0000184,POL0043610,2024-07-08,18098,Open,Theft
C0000185,POL0017354,2022-11-18,5476,Closed,Natural Disaster
C0000186,POL0007038,2020-03-03,44217,Pending,Liability
C0000187,POL0002431,2022-09-11,29676,Pending,Fire
C0000188,POL0020399,2020-12-09,11218,Open,Theft
C0000189,POL0017232,2020-08-02,4355,Pending,Liability
C0000190,POL0064572,2024-07-25,20772,Closed,Fire
C0000191,POL0007431,2024-08-01,27114,Closed,Fire
C0000192,POL0004478,2022-03-13,21916,Closed,Theft
C0000193,POL0054563,2023-03-26,16843,Closed,Theft
C0000194,POL0020368,2022-02-08,24956,Closed,Accident
C0000195,POL0013403,2024-03-21,39215,Open,Liability
C0000196,POL0017700,2022-07-06,14907,Open,Liability
C0000197,POL0053154,2020-07-21,22001,Open,Accident
C0000198,POL0041786,2021-04-15,31947,Open,Accident
C0000199,POL0023038,2022-02-18,3143,Pending,Accident
C0000200,POL0059241,2020-02-22,39740,Closed,Natural Disaster
C0000201,POL0048884,2020-03-27,49726,Closed,Accident
C0000202,POL0024749,2021-07-18,40008,Pending,Theft
C0000203,POL0000534,2021-11-25,24433,Pending,Fire
C0000204,POL0003271,2023-09-01,40128,Pending,Theft
C0000205,POL0007900,2024-01-08,6780,Open,Theft
C0000206,POL0017846,2021-12-17,22030,Pending,Fire
C0000207,POL0053221,2021-03-15,31727,Closed,Natural Disaster
C0000208,POL0009393,2023-06-19,46148,Open,Natural Disaster
C0000209,POL0061467,2022-04-07,49569,Open,Accident
C0000210,POL0020954,2022-12-23,13499,Open,Natural Disaster
C0000211,POL0051345,2021-09-09,46830,Closed,Accident
C0000212,POL0028246,2022-12-28,48234,Open,Accident
C0000213,POL0032554,2022-09-05,16591,Closed,Fire
C0000214,POL0002170,2022-12-25,39724,Pending,Liability
C0000215,POL0048838,2022-06-02,34307,Open,Natural Disaster
C0000216,POL0041018,2021-10-13,45471,Pending,Accident
C0000217,POL0028087,2024-02-24,42562,Open,Accident
C0000218,POL0008276,2020-09-11,2794,Open,Accident
C0000219,POL0024262,2022-09-30,2589,Pending,Theft
C0000220,POL0048329,2023-06-17,23948,Open,Accident
C0000221,POL0018507,2023-12-17,49832,Pending,Theft
C0000222,POL0021194,2021-01-26,45922,Closed,Liability
C0000223,POL0027620,2020-08-08,34418,Closed,Fire
C0000224,POL0033362,2020-10-18,20763,Open,Natural Disaster
C0000225,POL0003312,2021-11-02,48875,Closed,Fire
C0000226,POL0055559,2022-02-22,10578,Pending,Theft
C0000227,POL0063939,2022-02-28,2050,Pending,Accident
C0000228,POL0009572,2024-02-06,41384,Open,Natural Disaster
C0000229,POL0025249,2019-11-27,9871,Pending,Theft
C0000230,POL0022548,2024-04-13,32824,Open,Accident
C0000231,POL0022059,2020-05-20,22839,Pending,Natural Disaster
C0000232,POL0026403,2020-02-26,3440,Closed,Fire
C0000233,POL0015709,2021-04-15,48396,Closed,Natural Disaster
C0000234,POL0009101,2020-06-09,5000,Pending,Theft
C0000235,POL0030127,2021-08-12,36096,Open,Liability
C0000236,POL0041031,2021-12-20,23104,Open,Fire
C0000237,POL0064536,2024-04-22,48145,Closed,Natural Disaster
C0000238,POL0000231,2020-12-05,45131,Open,Accident
C0000239,POL0008253,2022-03-31,23779,Pending,Liability
C0000240,POL0059078,2022-01-17,26334,Open,Accident
C0000241,POL0018810,2022-09-22,16327,Open,Natural Disaster
C0000242,POL0050678,2023-09-25,40229,Pending,Accident
C0000243,POL0020501,2022-03-22,16517,Pending,Fire
C0000244,POL0048508,2020-02-13,41471,Pending,Accident
C0000245,POL0009462,2024-03-15,11651,Closed,Fire
C0000246,POL0040724,2023-05-26,5377,Pending,Liability
C0000247,POL0043752,2022-10-16,45973,Closed,Liability
C0000248,POL0032325,2022-01-27,5180,Open,Accident
C0000249,POL0030525,2022-05-20,23757,Open,Natural Disaster
C0000250,POL0033035,2019-10-24,14206,Open,Accident
C0000251,POL0005332,2022-10-01,41172,Open,Natural Disaster
C0000252,POL0055352,2020-04-09,19221,Open,Natural Disaster
C0000253,POL0045250,2021-12-05,44625,Pending,Theft
C0000254,POL0058194,2021-11-23,4207,Pending,Accident
C0000255,POL0014007,2022-10-18,9400,Closed,Liability
C0000256,POL0062311,2021-01-28,14319,Closed,Accident
C0000257,POL0063612,2023-04-20,43571,Pending,Accident
C0000258,POL0034586,2020-09-05,36223,Open,Fire
C0000259,POL0047170,2023-02-15,47431,Pending,Theft
C0000260,POL0047111,2022-06-21,13920,Closed,Accident
C0000261,POL0028175,2023-06-18,48914,Open,Fire
C0000262,POL0033716,2023-07-28,33542,Pending,Accident
C0000263,POL0000565,2020-06-01,25493,Pending,Accident
C0000264,POL0051589,2024-07-17,26783,Closed,Theft
C0000265,POL0058474,2024-02-07,34570,Pending,Natural Disaster
C0000266,POL0020591,2019-11-23,28647,Pending,Natural Disaster
C0000267,POL0024015,2022-06-16,42154,Open,Liability
C0000268,POL0020964,2019-11-21,43788,Closed,Liability
C0000269,POL0008157,2021-01-21,16634,Open,Fire
C0000270,POL0038687,2021-10-27,44936,Pending,Accident
C0000271,POL0022391,2022-07-18,3479,Closed,Liability
C0000272,POL0018756,2022-03-03,38391,Open,Accident
C0000273,POL0014239,2023-05-02,3300,Pending,Fire
C0000274,POL0034874,2021-07-19,2760,Closed,Liability
C0000275,POL0039333,2024-03-05,17925,Closed,Theft
C0000276,POL0059001,2022-02-19,36894,Pending,Fire
C0000277,POL0055749,2020-02-17,14975,Pending,Fire
C0000278,POL0057343,2020-04-16,15114,Pending,Accident
C0000279,POL0036004,2021-08-31,31327,Open,Accident
C0000280,POL0017759,2020-06-30,14652,Closed,Natural Disaster
C0000281,POL0010139,2023-05-13,22541,Open,Theft
C0000282,POL0019910,2023-05-19,13893,Pending,Fire
C0000283,POL0026051,2022-01-24,1580,Open,Theft
C0000284,POL0060962,2023-09-25,34621,Closed,Fire
C0000285,POL0025646,2023-01-16,45269,Pending,Liability
C0000286,POL0046915,2021-06-24,6690,Closed,Fire
C0000287,POL0011203,2022-12-26,2483,Pending,Natural Disaster
C0000288,POL0004875,2022-03-30,33931,Pending,Accident
C0000289,POL0005811,2019-11-28,8828,Open,Fire
C0000290,POL0007564,2024-02-03,15985,Open,Accident
C0000291,POL0062677,2020-03-05,12795,Pending,Fire
C0000292,POL0002892,2023-07-22,47561,Open,Fire
C0000293,POL0030996,2021-09-15,20712,Pending,Fire
C0000294,POL0002671,2023-03-10,37507,Open,Fire
C0000295,POL0027751,2023-12-12,20127,Closed,Theft
C0000296,POL0039180,2023-08-14,4650,Closed,Natural Disaster
C0000297,POL0060743,2021-01-26,14904,Open,Accident
C0000298,POL0006507,2021-07-29,10622,Open,Fire
C0000299,POL0061603,2021-05-06,12273,Pending,Accident
C0000300,POL0028096,2021-01-12,46961,Pending,Fire
C0000301,POL0009828,2022-04-22,17850,Open,Liability
C0000302,POL0014040,2020-09-02,29636,Open,Liability
C0000303,POL0035706,2022-03-17,22244,Pending,Fire
C0000304,POL0063182,2024-02-24,18392,Closed,Natural Disaster
C0000305,POL0027674,2020-02-28,7294,Open,Liability
C0000306,POL0025694,2020-06-28,31849,Pending,Fire
C0000307,POL0042884,2024-05-06,48874,Closed,Natural Disaster
C0000308,POL0011179,2021-09-18,30589,Pending,Natural Disaster
C0000309,POL0020888,2023-07-26,26317,Closed,Natural Disaster
C0000310,POL0024590,2019-10-18,46369,Pending,Accident
C0000311,POL0051252,2020-12-07,5225,Closed,Theft
C0000312,POL0023175,2020-08-16,13484,Closed,Accident
C0000313,POL0038246,2021-08-19,7269,Open,Fire
C0000314,POL0019597,2020-10-24,40206,Open,Theft
C0000315,POL0043475,2023-10-20,7628,Open,Natural Disaster
C0000316,POL0042553,2023-04-19,49506,Pending,Accident
C0000317,POL0011907,2022-02-19,47684,Pending,Theft
C0000318,POL0063459,2023-01-14,7685,Pending,Accident
C0000319,POL0062367,2020-07-18,13083,Pending,Liability
C0000320,POL0046213,2019-12-25,30320,Pending,Accident
C0000321,POL0001322,2022-06-29,26504,Pending,Natural Disaster
C0000322,POL0041346,2022-10-21,18227,Pending,Accident
C0000323,POL0048687,2023-07-13,20795,Open,Accident
C0000324,POL0014699,2021-08-17,43998,Open,Liability
C0000325,POL0035143,2024-01-26,29409,Pending,Liability
C0000326,POL0017465,2020-11-13,44789,Open,Liability
C0000327,POL0053328,2022-04-21,10352,Open,Accident
C0000328,POL0019945,2021-05-28,20296,Open,Natural Disaster
C0000329,POL0040852,2022-03-04,15789,Closed,Liability
C0000330,POL0031168,2024-06-02,38953,Open,Theft
C0000331,POL0022512,2021-07-06,10455,Pending,Theft
C0000332,POL0013345,2023-11-20,29122,Open,Fire
C0000333,POL0044592,2024-03-26,27356,Pending,Liability
C0000334,POL0005714,2024-01-08,6999,Open,Fire
C0000335,POL0024584,2022-08-14,28177,Closed,Fire
C0000336,POL0058388,2021-05-01,5091,Pending,Natural Disaster
C0000337,POL0031876,2020-01-31,44337,Closed,Accident
C0000338,POL0003753,2020-11-13,39669,Pending,Fire
C0000339,POL0002632,2021-04-09,22813,Closed,Fire
C0000340,POL0031242,2020-04-04,13174,Pending,Natural Disaster
C0000341,POL0054181,2019-10-05,1424,Open,Fire
C0000342,POL0005241,2021-04-10,30677,Closed,Theft
C0000343,POL0021093,2020-09-11,28227,Open,Accident
C0000344,POL0048745,2023-02-24,26650,Closed,Theft
C0000345,POL0027964,2023-09-27,39256,Open,Theft
C0000346,POL0050362,2021-07-05,36202,Closed,Liability
C0000347,POL0029286,2022-04-08,24534,Pending,Accident
C0000348,POL0034690,2024-04-29,8954,Pending,Liability
C0000349,POL0051623,2020-01-17,38434,Closed,Liability
C0000350,POL0050989,2020-05-11,49101,Open,Theft
C0000351,POL0046067,2024-02-13,18878,Closed,Theft
C0000352,POL0022247,2023-07-19,42501,Pending,Natural Disaster
C0000353,POL0053179,2023-07-08,24141,Closed,Theft
C0000354,POL0045179,2022-10-26,38438,Open,Liability
C0000355,POL0038137,2024-07-18,40589,Closed,Theft
C0000356,POL0007636,2023-10-29,3158,Open,Natural Disaster
C0000357,POL0014511,2020-01-28,3699,Closed,Natural Disaster
C0000358,POL0057828,2022-10-09,37429,Open,Theft
C0000359,POL0017268,2022-09-26,48215,Pending,Liability
C0000360,POL0027079,2022-08-14,11035,Closed,Theft
C0000361,POL0040010,2021-05-03,24477,Closed,Fire
C0000362,POL0005198,2022-09-05,29676,Open,Accident
C0000363,POL0056514,2024-01-18,3740,Pending,Accident
C0000364,POL0017076,2020-09-17,49116,Pending,Fire
C0000365,POL0055651,2023-08-19,14007,Open,Fire
C0000366,POL0046808,2022-02-04,37488,Open,Natural Disaster
C0000367,POL0006148,2022-03-01,10502,Pending,Natural Disaster
C0000368,POL0038106,2019-09-01,49521,Open,Theft
C0000369,POL0037679,2022-11-04,40105,Closed,Liability
C0000370,POL0051821,2020-01-03,2365,Open,Natural Disaster
C0000371,POL0007925,2020-03-11,4864,Pending,Fire
C0000372,POL0029253,2020-01-12,32595,Pending,Fire
C0000373,POL0010359,2020-10-15,45397,Closed,Fire
C0000374,POL0016142,2023-01-15,1086,Closed,Accident
C0000375,POL0012492,2022-08-19,11828,Closed,Liability
C0000376,POL0029074,2021-02-12,1203,Closed,Theft
C0000377,POL0029849,2023-09-16,10758,Closed,Fire
C0000378,POL0024338,2024-04-24,32088,Open,Natural Disaster
C0000379,POL0041535,2020-08-04,45026,Pending,Liability
C0000380,POL0059674,2021-10-15,9529,Open,Natural Disaster
C0000381,POL0005420,2024-01-22,18513,Pending,Natural Disaster
C0000382,POL0030146,2023-12-02,36046,Closed,Theft
C0000383,POL0022395,2023-07-07,14607,Closed,Fire
C0000384,POL0057589,2020-12-06,26447,Closed,Theft
C0000385,POL0044508,2024-07-04,4754,Open,Fire
C0000386,POL0001332,2023-01-13,34176,Open,Natural Disaster
C0000387,POL0008808,2022-11-23,39244,Pending,Fire
C0000388,POL0030085,2023-05-17,14882,Open,Natural Disaster
C0000389,POL0023604,2023-06-01,6439,Pending,Natural Disaster
C0000390,POL0033425,2022-04-04,23128,Open,Fire
C0000391,POL0027579,2021-07-22,20979,Open,Fire
C0000392,POL0041742,2019-09-13,46826,Open,Liability
C0000393,POL0063386,2023-10-10,34914,Closed,Theft
C0000394,POL0011346,2020-09-02,42584,Closed,Theft
C0000395,POL0028224,2024-07-01,8908,Closed,Liability
C0000396,POL0035693,2023-03-10,39735,Open,Natural Disaster
C0000397,POL0027594,2021-06-02,25524,Pending,Theft
C0000398,POL0058613,2022-07-21,42169,Open,Accident
C0000399,POL0049473,2023-09-16,34774,Closed,Natural Disaster
C0000400,POL0061550,2022-03-10,22391,Closed,Natural Disaster
C0000401,POL0004028,2021-10-15,11899,Pending,Theft
C0000402,POL0007954,2022-09-22,27197,Pending,Liability
C0000403,POL0037578,2024-01-08,20388,Pending,Natural Disaster
C0000404,POL0045249,2024-02-12,14870,Closed,Accident
C0000405,POL0002341,2023-08-08,31315,Open,Fire
C0000406,POL0059044,2019-08-21,28367,Closed,Accident
C0000407,POL0004683,2021-07-26,5736,Pending,Theft
C0000408,POL0049203,2024-08-11,37454,Pending,Liability
C0000409,POL0037594,2024-02-05,13391,Pending,Natural Disaster
C0000410,POL0040947,2021-06-26,4657,Open,Fire
C0000411,POL0027467,2024-06-03,29122,Open,Natural Disaster
C0000412,POL0054821,2020-07-18,3660,Open,Natural Disaster
C0000413,POL0043255,2021-03-30,11729,Pending,Liability
C0000414,POL0044439,2022-04-03,48675,Closed,Theft
C0000415,POL0043382,2024-04-26,43864,Closed,Natural Disaster
C0000416,POL0061395,2022-09-17,45557,Pending,Theft
C0000417,POL0043938,2020-03-16,11646,Pending,Fire
C0000418,POL0007941,2023-09-23,43272,Open,Theft
C0000419,POL0002023,2021-08-31,28752,Open,Fire
C0000420,POL0034081,2021-08-14,19201,Open,Accident
C0000421,POL0012090,2020-12-30,9431,Open,Theft
C0000422,POL0058699,2023-08-09,7543,Closed,Liability
C0000423,POL0054805,2024-05-12,2953,Pending,Natural Disaster
C0000424,POL0040249,2020-12-19,32061,Open,Fire
C0000425,POL0003227,2023-03-03,47546,Pending,Theft
C0000426,POL0002120,2020-05-23,34202,Closed,Fire
C0000427,POL0057018,2022-06-06,2547,Pending,Fire
C0000428,POL0032136,2023-01-03,17526,Open,Accident
C0000429,POL0059835,2021-07-09,17543,Open,Liability
C0000430,POL0007114,2023-01-01,17854,Closed,Fire
C0000431,POL0020760,2024-03-20,12669,Pending,Theft
C0000432,POL0050838,2024-04-22,49851,Pending,Theft
C0000433,POL0007131,2020-09-25,25467,Closed,Fire
C0000434,POL0047382,2024-03-23,25657,Pending,Natural Disaster
C0000435,POL0000279,2021-03-23,2893,Pending,Accident
C0000436,POL0047403,2021-08-18,46676,Pending,Theft
C0000437,POL0042531,2020-12-07,43768,Closed,Liability
C0000438,POL0000901,2020-01-15,1145,Closed,Natural Disaster
C0000439,POL0001128,2019-12-28,18680,Open,Fire
C0000440,POL0022413,2021-11-05,13847,Open,Liability
C0000441,POL0064790,2019-12-02,4094,Open,Accident
C0000442,POL0044048,2020-04-05,36534,Open,Theft
C0000443,POL0041312,2024-01-22,18635,Pending,Natural Disaster
C0000444,POL0039193,2023-11-08,18320,Open,Natural Disaster
C0000445,POL0038184,2020-12-13,18813,Closed,Fire
C0000446,POL0020308,2024-05-23,6133,Pending,Liability
C0000447,POL0029629,2024-04-26,25265,Open,Theft
C0000448,POL0025397,2024-03-04,35652,Pending,Accident
C0000449,POL0059356,2021-03-23,38808,Pending,Theft
C0000450,POL0007799,2020-06-28,20726,Closed,Fire
C0000451,POL0002772,2022-11-28,3745,Pending,Accident
C0000452,POL0051217,2020-03-22,18119,Pending,Accident
C0000453,POL0018326,2024-01-17,37113,Closed,Theft
C0000454,POL0052674,2023-06-22,35224,Pending,Accident
C0000455,POL0027715,2022-10-19,32073,Closed,Fire
C0000456,POL0025776,2020-05-06,47112,Open,Fire
C0000457,POL0004151,2021-08-02,10907,Pending,Theft
C0000458,POL0035824,2022-05-16,39258,Open,Accident
C0000459,POL0060377,2023-09-06,12033,Open,Accident
C0000460,POL0035404,2021-02-27,15048,Pending,Fire
C0000461,POL0054056,2024-03-27,42965,Open,Liability
C0000462,POL0042103,2023-09-14,30204,Closed,Accident
C0000463,POL0045749,2021-11-23,16655,Closed,Theft
C0000464,POL0062429,2021-07-04,5792,Open,Accident
C0000465,POL0031532,2023-04-08,4224,Closed,Accident
C0000466,POL0053392,2021-06-27,16052,Closed,Natural Disaster
C0000467,POL0008124,2020-04-15,9581,Pending,Accident
C0000468,POL0035021,2021-12-17,1408,Open,Accident
C0000469,POL0004046,2023-05-10,30494,Open,Theft
C0000470,POL0002932,2019-08-31,46166,Pending,Fire
C0000471,POL0015049,2021-04-19,30674,Closed,Fire
C0000472,POL0026875,2023-02-11,43915,Pending,Theft
C0000473,POL0039429,2020-11-11,16745,Pending,Accident
