PremiumID,PolicyID,PremiumAmount,CommissionAmount
POL0000468,POL0000468,7905,1501.95
POL0000469,POL0000469,1174,223.06
POL0000470,POL0000470,6860,891.8
POL0000471,POL0000471,2634,316.08
POL0000472,POL0000472,4779,812.43
POL0000473,POL0000473,9108,819.72
POL0000474,POL0000474,3730,559.5
POL0000475,POL0000475,5908,768.04
POL0000476,POL0000476,3842,268.94
POL0000477,POL0000477,3093,494.88
POL0000478,POL0000478,316,15.8
POL0000479,POL0000479,3062,581.78
POL0000480,POL0000480,1491,119.28
POL0000481,POL0000481,2047,245.64
POL0000482,POL0000482,408,32.64
POL0000483,POL0000483,1290,103.2
POL0000484,POL0000484,8438,506.28
POL0000485,POL0000485,19520,3708.8
POL0000486,POL0000486,1944,174.96
POL0000487,POL0000487,2329,349.35
POL0000488,POL0000488,7858,1571.6
POL0000489,POL0000489,9265,926.5
POL0000490,POL0000490,37735,6414.95
POL0000491,POL0000491,1045,146.3
POL0000492,POL0000492,4521,271.26
POL0000493,POL0000493,143,24.31
POL0000494,POL0000494,4530,860.7
POL0000495,POL0000495,3442,585.14
POL0000496,POL0000496,1238,160.94
POL0000497,POL0000497,12774,2427.06
POL0000498,POL0000498,2365,165.55
POL0000499,POL0000499,5068,608.16
POL0000500,POL0000500,3311,529.76
POL0000501,POL0000501,14304,1001.28
POL0000502,POL0000502,120,13.2
POL0000503,POL0000503,1390,83.4
POL0000504,POL0000504,2084,354.28
POL0000505,POL0000505,3218,353.98
POL0000506,POL0000506,30934,1856.04
POL0000507,POL0000507,6636,862.68
POL0000508,POL0000508,59882,6587.02
POL0000509,POL0000509,11540,1269.4
POL0000510,POL0000510,11866,711.96
POL0000511,POL0000511,1292,258.4
POL0000512,POL0000512,1184,189.44
POL0000513,POL0000513,2652,212.16
POL0000514,POL0000514,1567,188.04
POL0000515,POL0000515,3178,254.24
POL0000516,POL0000516,3667,733.4
POL0000517,POL0000517,115620,15030.6
POL0000518,POL0000518,301952,54351.36
POL0000519,POL0000519,17713,2479.82
POL0000520,POL0000520,4366,698.56
POL0000521,POL0000521,8498,1529.64
POL0000522,POL0000522,77627,6986.43
POL0000523,POL0000523,1324,66.2
POL0000524,POL0000524,221,39.78
POL0000525,POL0000525,62510,10001.6
POL0000526,POL0000526,1952,331.84
POL0000527,POL0000527,11748,2114.64
POL0000528,POL0000528,193276,38655.2
POL0000529,POL0000529,68677,8241.24
POL0000530,POL0000530,6255,938.25
POL0000531,POL0000531,1187,142.44
POL0000532,POL0000532,9448,1795.12
POL0000533,POL0000533,1236,123.6
POL0000534,POL0000534,3839,307.12
POL0000535,POL0000535,2554,408.64
POL0000536,POL0000536,7571,529.97
POL0000537,POL0000537,4549,500.39
POL0000538,POL0000538,40268,3624.12
POL0000539,POL0000539,81183,16236.6
POL0000540,POL0000540,4376,568.88
POL0000541,POL0000541,503,40.24
POL0000542,POL0000542,984,49.2
POL0000543,POL0000543,1391,208.65
POL0000544,POL0000544,3576,607.92
POL0000545,POL0000545,53264,8522.24
POL0000546,POL0000546,1057,211.4
POL0000547,POL0000547,2536,456.48
POL0000548,POL0000548,2288,274.56
POL0000549,POL0000549,9769,1367.66
POL0000550,POL0000550,5943,653.73
POL0000551,POL0000551,40880,3270.4
POL0000552,POL0000552,16608,996.48
POL0000553,POL0000553,2624,524.8
POL0000554,POL0000554,1123,224.6
POL0000555,POL0000555,7047,1197.99
POL0000556,POL0000556,1944,388.8
POL0000557,POL0000557,6735,875.55
POL0000558,POL0000558,1487,74.35
POL0000559,POL0000559,6756,1013.4
POL0000560,POL0000560,693,110.88
POL0000561,POL0000561,19964,2994.6
POL0000562,POL0000562,88985,7118.8
POL0000563,POL0000563,1166,81.62
POL0000564,POL0000564,366072,58571.52
POL0000565,POL0000565,3874,658.58
POL0000566,POL0000566,539,59.29
POL0000567,POL0000567,1256,125.6
POL0000568,POL0000568,8030,562.1
POL0000569,POL0000569,1140,91.2
POL0000570,POL0000570,3926,628.16
POL0000571,POL0000571,4307,689.12
POL0000572,POL0000572,6287,1005.92
POL0000573,POL0000573,2649,529.8
POL0000574,POL0000574,4512,451.2
POL0000575,POL0000575,8706,957.66
POL0000576,POL0000576,2324,348.6
POL0000577,POL0000577,23944,4309.92
POL0000578,POL0000578,9010,1802
POL0000579,POL0000579,314,40.82
POL0000580,POL0000580,731,95.03
POL0000581,POL0000581,1121,190.57
POL0000582,POL0000582,6520,782.4
POL0000583,POL0000583,15213,1217.04
POL0000584,POL0000584,564,62.04
POL0000585,POL0000585,9482,1801.58
POL0000586,POL0000586,6094,731.28
POL0000587,POL0000587,2257,157.99
POL0000588,POL0000588,13490,1618.8
POL0000589,POL0000589,2211,442.2
POL0000590,POL0000590,1952,253.76
POL0000591,POL0000591,3666,366.6
POL0000592,POL0000592,9233,461.65
POL0000593,POL0000593,2565,359.1
POL0000594,POL0000594,844,75.96
POL0000595,POL0000595,270648,16238.88
POL0000596,POL0000596,19080,1335.6
POL0000597,POL0000597,18532,1667.88
POL0000598,POL0000598,2512,276.32
POL0000599,POL0000599,10230,1739.1
POL0000600,POL0000600,15002,2550.34
POL0000601,POL0000601,3016,241.28
POL0000602,POL0000602,966,125.58
POL0000603,POL0000603,4805,480.5
POL0000604,POL0000604,16481,1483.29
POL0000605,POL0000605,68639,7550.29
POL0000606,POL0000606,88318,11481.34
POL0000607,POL0000607,19706,3152.96
POL0000608,POL0000608,47153,7072.95
POL0000609,POL0000609,590,118
POL0000610,POL0000610,2772,526.68
POL0000611,POL0000611,47177,5661.24
POL0000612,POL0000612,104,6.24
POL0000613,POL0000613,1975,158
POL0000614,POL0000614,62486,6873.46
POL0000615,POL0000615,9864,887.76
POL0000616,POL0000616,7756,387.8
POL0000617,POL0000617,4229,465.19
POL0000618,POL0000618,5499,714.87
POL0000619,POL0000619,2690,322.8
POL0000620,POL0000620,1445,289
POL0000621,POL0000621,635,44.45
POL0000622,POL0000622,5667,906.72
POL0000623,POL0000623,1080,54
POL0000624,POL0000624,2839,454.24
POL0000625,POL0000625,2949,206.43
POL0000626,POL0000626,16783,1678.3
POL0000627,POL0000627,4038,363.42
POL0000628,POL0000628,1239,247.8
POL0000629,POL0000629,464,32.48
POL0000630,POL0000630,8416,1430.72
POL0000631,POL0000631,11123,1445.99
POL0000632,POL0000632,10316,928.44
POL0000633,POL0000633,48300,2415
POL0000634,POL0000634,5370,805.5
POL0000635,POL0000635,12516,2002.56
POL0000636,POL0000636,406616,77257.04
POL0000637,POL0000637,7029,1124.64
POL0000638,POL0000638,19696,1378.72
POL0000639,POL0000639,5253,945.54
POL0000640,POL0000640,657,52.56
POL0000641,POL0000641,3587,502.18
POL0000642,POL0000642,48897,3422.79
POL0000643,POL0000643,587,46.96
POL0000644,POL0000644,13158,1842.12
POL0000645,POL0000645,456,86.64
POL0000646,POL0000646,25778,4640.04
POL0000647,POL0000647,5055,252.75
POL0000648,POL0000648,14269,1712.28
POL0000649,POL0000649,1111,155.54
POL0000650,POL0000650,2735,246.15
POL0000651,POL0000651,4036,201.8
POL0000652,POL0000652,1520,288.8
POL0000653,POL0000653,18086,1446.88
POL0000654,POL0000654,26170,1831.9
POL0000655,POL0000655,19895,1790.55
POL0000656,POL0000656,1949,253.37
POL0000657,POL0000657,8617,1637.23
POL0000658,POL0000658,7786,1557.2
POL0000659,POL0000659,5037,352.59
POL0000660,POL0000660,1591,95.46
POL0000661,POL0000661,3904,390.4
POL0000662,POL0000662,457,41.13
POL0000663,POL0000663,63021,8822.94
POL0000664,POL0000664,2350,446.5
POL0000665,POL0000665,227,36.32
POL0000666,POL0000666,68488,10273.2
POL0000667,POL0000667,1158,150.54
POL0000668,POL0000668,277,30.47
POL0000669,POL0000669,63035,5042.8
POL0000670,POL0000670,4585,687.75
POL0000671,POL0000671,432,56.16
POL0000672,POL0000672,19511,3316.87
POL0000673,POL0000673,3819,305.52
POL0000674,POL0000674,448,62.72
POL0000675,POL0000675,46751,6545.14
POL0000676,POL0000676,2099,104.95
POL0000677,POL0000677,15547,2953.93
POL0000678,POL0000678,2451,441.18
POL0000679,POL0000679,1237,222.66
POL0000680,POL0000680,23456,4691.2
POL0000681,POL0000681,4204,546.52
POL0000682,POL0000682,2111,274.43
POL0000683,POL0000683,4244,212.2
POL0000684,POL0000684,2869,315.59
POL0000685,POL0000685,13008,650.4
POL0000686,POL0000686,550,60.5
POL0000687,POL0000687,5741,918.56
POL0000688,POL0000688,2955,147.75
POL0000689,POL0000689,463,87.97
POL0000690,POL0000690,1109,144.17
POL0000691,POL0000691,189,26.46
POL0000692,POL0000692,238,26.18
POL0000693,POL0000693,436,82.84
POL0000694,POL0000694,1037,62.22
POL0000695,POL0000695,7385,812.35
POL0000696,POL0000696,1855,204.05
POL0000697,POL0000697,4210,294.7
POL0000698,POL0000698,1547,232.05
POL0000699,POL0000699,19309,3282.53
POL0000700,POL0000700,3690,442.8
POL0000701,POL0000701,1988,119.28
POL0000702,POL0000702,2210,110.5
POL0000703,POL0000703,3623,398.53
POL0000704,POL0000704,451,85.69
POL0000705,POL0000705,1370,205.5
POL0000706,POL0000706,1219,158.47
POL0000707,POL0000707,174,27.84
POL0000708,POL0000708,758,83.38
POL0000709,POL0000709,2025,263.25
POL0000710,POL0000710,11539,2077.02
POL0000711,POL0000711,7706,1541.2
POL0000712,POL0000712,1663,216.19
POL0000713,POL0000713,195944,9797.2
POL0000714,POL0000714,1399,181.87
POL0000715,POL0000715,1257,213.69
POL0000716,POL0000716,53141,10096.79
POL0000717,POL0000717,2384,452.96
POL0000718,POL0000718,5706,741.78
POL0000719,POL0000719,1393,195.02
POL0000720,POL0000720,1869,336.42
POL0000721,POL0000721,544,65.28
POL0000722,POL0000722,411,53.43
POL0000723,POL0000723,1659,282.03
POL0000724,POL0000724,1208,108.72
POL0000725,POL0000725,9798,881.82
POL0000726,POL0000726,8143,977.16
POL0000727,POL0000727,16224,1946.88
POL0000728,POL0000728,2263,362.08
POL0000729,POL0000729,1674,83.7
